2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletImage is uptodate
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletJsp is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletJspCollection is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletLoggedMembers is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletLogin is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletMenu is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletMyLocks is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletNavigate is uptodate
2015-04-04 00:31:41,438 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletNotification is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletPortal is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletPortalRedirect is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletQueryForeach is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletQueryForeachDetail is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletRecentHistory is uptodate
2015-04-04 00:31:41,439 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletRow is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletRSS is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletSearch is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletSelection is uptodate
